GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_4901: Average monthly shelter costs for rented dwellings ($),v_CA16_409: Single-detached house,v_CA16_408: Occupied private dwellings by structural type of dwelling data,v_CA16_410: Apartment in a building that has five or more storeys
59153138,DA,Vancouver,0.05559,573,386,376,1246,0,380,35
59153139,DA,Vancouver,0.03604,495,353,351,1217,0,350,140
59153140,DA,Vancouver,0.07596,790,553,534,1307,0,535,185
59153141,DA,Vancouver,0.04787,724,399,380,2010,5,380,0
59153142,DA,Vancouver,0.03288,500,279,271,1370,0,275,0
59153144,DA,Vancouver,0.04318,765,395,378,1523,0,375,0
59153145,DA,Vancouver,0.06812,590,337,325,1533,5,325,0
59153146,DA,Vancouver,1.08792,8778,5631,4923,1795,20,4925,3875
59153151,DA,Vancouver,0.10931,641,417,408,1094,10,405,45
59153152,DA,Vancouver,0.13301,935,457,435,1635,0,435,225
59153153,DA,Vancouver,0.04919,768,530,524,1250,0,525,155
59153154,DA,Vancouver,0.07546,841,441,438,1189,0,435,175
59153155,DA,Vancouver,0.07914,481,275,249,1324,15,250,0
59153156,DA,Vancouver,0.04114,356,160,154,1742,20,155,0
59153157,DA,Vancouver,0.06655,575,294,265,1542,20,265,0
59153158,DA,Vancouver,0.08075,727,516,451,1252,10,450,85
59153159,DA,Vancouver,0.07376,654,463,449,1038,0,450,100
59153160,DA,Vancouver,0.07206,741,489,463,1096,5,465,0
59153161,DA,Vancouver,0.0425,552,314,311,1269,5,310,0
59153162,DA,Vancouver,0.0296,504,319,304,1137,0,300,0
59153163,DA,Vancouver,0.08188,425,309,285,1256,0,285,90
59153164,DA,Vancouver,0.09918,1593,1128,1081,1514,5,1080,635
59153165,DA,Vancouver,0.03268,525,313,311,897,5,310,45
59153166,DA,Vancouver,0.11052,1091,522,516,1547,65,515,105
59153167,DA,Vancouver,0.16949,616,221,202,1435,85,200,0
59153171,DA,Vancouver,0.0673,742,528,520,1512,0,520,470
59153172,DA,Vancouver,0.02073,784,522,503,1584,0,500,505
59153181,DA,Vancouver,0.86432,554,247,218,557,5,220,95
59153182,DA,Vancouver,0.01493,454,250,203,526,0,200,155
59153183,DA,Vancouver,0.07855,814,510,485,573,10,485,205
59153184,DA,Vancouver,0.07708,639,325,312,654,15,310,200
59153185,DA,Vancouver,0.05257,447,247,198,752,40,195,0
59153186,DA,Vancouver,0.06959,483,252,224,1176,40,225,0
59153187,DA,Vancouver,0.05633,815,374,344,612,0,345,215
59153188,DA,Vancouver,0.16286,252,86,85,513,0,85,0
59153189,DA,Vancouver,0.22379,535,265,239,960,40,240,0
